2024-03-04 17:27:39,191 - INFO - Iniciou Leitura da serial
2024-03-04 17:27:39,200 - INFO - Iniciado file processor
2024-03-04 17:30:59,136 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:00,148 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:01,159 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:02,171 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:03,182 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:04,194 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:05,217 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:06,239 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:07,262 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:08,273 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:09,285 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:10,297 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:11,318 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:12,330 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:13,341 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:14,354 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:15,365 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:16,377 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:17,399 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:18,421 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:19,443 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:20,465 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:21,487 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:22,509 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:23,531 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:24,553 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:25,573 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:26,585 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:27,597 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:28,623 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:29,646 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:30,668 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:31:31,687 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
